timestamp,BTC_HIGH,BTC_LOW,BTC_CLOSE,BTC_VOLUME,BCH_HIGH,BCH_LOW,BCH_CLOSE,BCH_VOLUME,ETH_HIGH,ETH_LOW,ETH_CLOSE,ETH_VOLUME,LTC_HIGH,LTC_LOW,LTC_CLOSE,LTC_VOLUME,S&P_500_CLOSE,DJIA_CLOSE,NASDAQ_CLOSE,ENERGY_CLOSE,FINANCIAL_CLOSE,RETAIL_CLOSE,TECH_CLOSE
2015-01-01,321.09092558,314.90761545,315.16872872,24577.54038977,,,,,,,,,2.72122185,2.69160316,2.6961411,235033.74330394,,,,,,,
2015-01-02,316.62988039,314.30914215,316.52712279,24157.99331027,,,,,,,,,2.69633609,2.65342216,2.66366734,212819.82879088,2058.2,17832.9902,4726.8101,72.3607,18.9466,45.5926,39.0608
2015-01-03,316.98406114,282.50586012,282.50586012,111697.5157286,,,,,,,,,2.66384954,2.12201879,2.12201879,1412156.08958656,,,,,,,
2015-01-04,287.24516268,257.83393756,264.17123694,203600.56501327,,,,,,,,,2.15659967,1.90030412,1.95348481,1505971.04041399,,,,,,,
2015-01-05,278.14496758,265.17999761,274.17158372,116597.06407638,,,,,,,,,2.16631047,1.9574323,2.08485257,4772877.68510073,2020.58,17501.6504,4652.5698,69.3673,18.5482,45.0761,38.4645
2015-01-06,287.86354044,272.97159996,286.60596245,77554.22624303,,,,,,,,,2.11539381,2.04093291,2.1086563,1341171.69731912,2002.61,17371.6406,4592.7402,68.3482,18.2647,44.5979,38.0008
2015-01-07,299.23234072,283.49640724,294.97561288,79454.67018834,,,,,,,,,2.14157532,2.07254748,2.11592686,1400421.62336467,2025.9,17584.5195,4650.4702,68.4938,18.4562,45.7647,38.3226
2015-01-08,294.68418372,282.97502143,284.41179046,67578.94639216,,,,,,,,,2.12220983,1.99602495,2.00686032,1151985.10674609,2062.1399,17907.8691,4736.1899,70.0315,18.732,46.3816,39.1649
2015-01-09,291.69747753,281.19177784,289.77964478,74212.79885089,,,,,,,,,2.00696891,1.95360275,1.97628896,864200.52643146,2044.8101,17737.3691,4704.0698,69.4765,18.4792,45.5495,39.0419
2015-01-10,290.21681458,275.04832381,275.44596939,82058.55734692,,,,,,,,,1.99068154,1.58752399,1.64968765,1040420.90826938,,,,,,,
2015-01-11,280.35562385,265.4342122,266.10449045,64317.95049291,,,,,,,,,1.87834057,1.63424837,1.6966499,981990.9615624,,,,,,,
2015-01-12,272.53207465,265.29083271,268.654918,66503.03757922,,,,,,,,,1.7908839,1.69117243,1.71206634,731709.01983809,2028.26,17640.8398,4664.71,67.4748,18.326,45.6452,38.5876
2015-01-13,268.96240635,219.83558658,224.96803158,305661.97462706,,,,,,,,,1.71400609,1.52948326,1.53564129,2038367.62617957,2023.03,17613.6797,4661.5,66.938,18.2647,45.253,38.5592
2015-01-14,225.61046756,172.71636605,178.34854403,518235.18785137,,,,,,,,,1.57367736,1.11444581,1.15179937,2675451.93651744,2011.27,17427.0898,4639.3198,67.1472,18.0042,45.0857,38.3415
2015-01-15,229.0723508,176.1466467,209.96969167,372166.15010555,,,,,,,,,1.36332727,1.14294523,1.27891764,1836934.83486201,1992.67,17320.7109,4570.8198,66.292,17.782,44.0527,37.8493
2015-01-16,221.71571346,200.14947457,207.68017461,171733.72089542,,,,,,,,,1.47094826,1.26825765,1.40173673,1341927.54343218,2019.42,17511.5703,4634.3799,68.4483,17.9965,44.684,38.2185
